language,q_index10,n,EM_mean,F1_mean,ROUGE_L_mean,LEV_SIM_mean,ACC_rouge70,ACC_lev80,gold_score_mean,fact_cons_mean,halluc_rate_mean,groundedness_mean,retrieval_support_mean,lat_total_s_mean,lat_gen_s_mean,lat_ret_s_mean,tok_total_mean,tok_prompt_mean,tok_comp_mean,tps_mean,EM_ci_lo,EM_ci_hi,F1_ci_lo,F1_ci_hi,ROUGE_L_ci_lo,ROUGE_L_ci_hi
ca,1,9,0.3333333333333333,0.44017094017094016,0.44017094017094016,0.49074000955027164,0.3333333333333333,0.3333333333333333,3.7777777777777777,8.036666666666667,0.19633333333333336,0.8036666666666668,0.754,21.477580000000003,21.437448888888888,0.04011222222222222,491.8888888888889,376.8888888888889,115.0,12.974212515917314,0.0,0.6666666666666666,0.16239316239316237,0.7222222222222222,0.16239316239316237,0.7222222222222222
ca,2,9,0.0,0.0,0.0,0.2736963150855526,0.0,0.1111111111111111,7.833333333333333,7.9544444444444435,0.20455555555555555,0.7954444444444445,0.6843333333333333,38.47113666666667,36.38816,2.082961111111111,616.7777777777778,368.8888888888889,247.88888888888889,12.8754898406102,0.0,0.0,0.0,0.0,0.0,0.0
ca,3,9,0.0,0.0,0.0,0.19577616824969576,0.0,0.0,0.2777777777777778,7.818888888888889,0.2181111111111111,0.7818888888888889,0.683,24.519436666666664,22.44589555555556,2.073528888888889,506.8888888888889,383.22222222222223,123.66666666666667,12.365299581329241,0.0,0.0,0.0,0.0,0.0,0.0
ca,4,9,0.0,0.31161675968427194,0.25965800976287345,0.30054322303020703,0.1111111111111111,0.0,4.722222222222222,7.881111111111112,0.2118888888888889,0.7881111111111111,0.7376666666666667,23.867595555555557,21.79525888888889,2.0723244444444453,500.6666666666667,381.1111111111111,119.55555555555556,12.679743372287772,0.0,0.0,0.17907738746748036,0.4574228394861571,0.14463841450558718,0.4025962674689327
ca,5,9,0.0,0.5103273767252262,0.5103273767252262,0.3022743094804543,0.1111111111111111,0.0,9.533333333333333,9.034444444444444,0.09655555555555556,0.9034444444444445,0.841,22.318318888888886,20.24842222222222,2.069881111111111,482.0,378.3333333333333,103.66666666666667,12.211127947220989,0.0,0.0,0.43675015247595883,0.5894315660444692,0.43675015247595883,0.5894315660444692
ca,6,9,0.0,0.7722045157011884,0.7722045157011884,0.7685556831508958,0.7777777777777778,0.6666666666666666,9.333333333333334,8.69111111111111,0.1308888888888889,0.8691111111111112,0.8430000000000001,20.918266666666668,18.84276333333333,2.075491111111111,483.44444444444446,392.3333333333333,91.11111111111111,12.550936581638076,0.0,0.0,0.6872958257713249,0.8473034437946719,0.6872958257713249,0.8473034437946719
ca,7,9,0.0,0.4548557016901792,0.4548557016901792,0.2907592391798969,0.0,0.0,8.155555555555557,8.565555555555555,0.14344444444444446,0.8565555555555555,0.779,21.137815555555555,19.060389999999998,2.077412222222222,487.0,392.1111111111111,94.88888888888889,12.675445547326197,0.0,0.0,0.38462479485934864,0.5260881764504952,0.38462479485934864,0.5260881764504952
ca,8,9,0.0,0.29582536588384545,0.28101055106903056,0.33483173523399323,0.0,0.0,4.833333333333333,8.158888888888889,0.18411111111111111,0.815888888888889,0.7303333333333335,26.971519999999998,24.894724444444446,2.0767855555555554,537.5555555555555,393.22222222222223,144.33333333333334,12.57353092897729,0.0,0.0,0.14738475819177574,0.4462754107490948,0.1443065688913642,0.41473303629443975
ca,9,9,0.0,0.17390421356506425,0.17390421356506425,0.27762209106803165,0.0,0.0,2.2222222222222223,8.646666666666667,0.13533333333333333,0.8646666666666667,0.8326666666666667,25.601779999999998,23.523843333333332,2.077926666666667,525.8888888888889,390.8888888888889,135.0,12.5116976362109,0.0,0.0,0.1248599060843867,0.2303057193415714,0.1248599060843867,0.2303057193415714
ca,10,9,0.0,0.3041135602539111,0.3041135602539111,0.17649406629934963,0.0,0.0,4.666666666666667,8.615555555555556,0.13844444444444448,0.8615555555555555,0.7929999999999999,21.047863333333332,18.966686666666668,2.0811622222222224,493.44444444444446,399.6666666666667,93.77777777777777,12.587804687449838,0.0,0.0,0.23004805460945812,0.375813661646995,0.23004805460945812,0.375813661646995
en,1,9,0.2222222222222222,0.49523809523809526,0.49523809523809526,0.4852585510867542,0.2222222222222222,0.2222222222222222,4.833333333333333,8.137777777777778,0.18622222222222223,0.8137777777777778,0.7803333333333334,29.90453444444445,29.86328,0.041240000000000006,487.8888888888889,293.8888888888889,194.0,12.938586439340817,0.0,0.5555555555555556,0.2698412698412699,0.7333333333333333,0.2698412698412699,0.7333333333333333
en,2,9,0.0,0.22522045855379189,0.22522045855379189,0.21780687592422407,0.0,0.0,8.533333333333333,8.223333333333334,0.1776666666666667,0.8223333333333334,0.7043333333333334,18.36403888888889,16.292614444444446,2.0714144444444447,348.44444444444446,278.77777777777777,69.66666666666667,13.192741258033266,0.0,0.0,0.10668871252204587,0.3511507936507936,0.10668871252204587,0.3511507936507936
en,3,9,0.0,0.07930455638480496,0.07930455638480496,0.16874946810767524,0.0,0.0,2.0,7.677777777777777,0.23222222222222225,0.7677777777777779,0.694,20.375598888888888,18.297806666666666,2.0777799999999997,384.77777777777777,293.0,91.77777777777777,12.643501765581895,0.0,0.0,0.04895618335053319,0.1067562015059435,0.04895618335053319,0.1067562015059435
en,4,9,0.0,0.3460923814913628,0.23355162098795373,0.25765348493890716,0.0,0.0,6.266666666666667,8.552222222222222,0.14477777777777778,0.8552222222222222,0.7133333333333334,18.60641777777778,16.528613333333336,2.0777955555555554,366.3333333333333,293.0,73.33333333333333,12.947444231831426,0.0,0.0,0.29719235364396657,0.3967253820033956,0.18986279917236343,0.275832405086791
en,5,9,0.0,0.45190470602369914,0.45190470602369914,0.3447201260733647,0.0,0.0,9.166666666666666,8.976666666666667,0.10233333333333333,0.8976666666666667,0.886,19.872278888888886,17.787823333333336,2.084441111111111,379.3333333333333,293.77777777777777,85.55555555555556,12.376015381716762,0.0,0.0,0.42413335456813717,0.4807156780840991,0.42413335456813717,0.4807156780840991
en,6,9,0.0,0.6462333421397749,0.6212254282429721,0.5982331566489982,0.3333333333333333,0.3333333333333333,8.833333333333334,8.913333333333334,0.10866666666666666,0.8913333333333333,0.8046666666666666,22.946067777777778,20.852077777777776,2.093976666666667,414.1111111111111,300.3333333333333,113.77777777777777,12.581857509879358,0.0,0.0,0.561795097906209,0.7460008044803366,0.5206463452077487,0.7377703518054396
en,7,9,0.0,0.40852856294032763,0.40852856294032763,0.28474065536170645,0.0,0.0,7.144444444444444,8.757777777777779,0.1242222222222222,0.8757777777777778,0.7443333333333333,20.056499999999996,17.980266666666665,2.076221111111111,380.22222222222223,296.22222222222223,84.0,12.580382197918318,0.0,0.0,0.36626984126984125,0.4514727102962397,0.36626984126984125,0.4514727102962397
en,8,9,0.0,0.40807895807895805,0.24700854700854702,0.26209728171639246,0.0,0.0,9.38888888888889,8.618888888888888,0.13811111111111113,0.8618888888888888,0.7406666666666667,18.78761111111111,16.716306666666664,2.071291111111111,383.6666666666667,311.77777777777777,71.88888888888889,12.866404262625505,0.0,0.0,0.3403540903540903,0.47182336182336165,0.20529100529100527,0.28490028490028485
en,9,9,0.0,0.48434559938183125,0.47376358879982067,0.31009747145467,0.0,0.0,4.133333333333334,8.722222222222221,0.1277777777777778,0.8722222222222222,0.7909999999999999,33.417118888888886,31.339538888888885,2.077566666666667,510.0,306.22222222222223,203.77777777777777,12.428696227542076,0.0,0.0,0.4204482405342913,0.539723829578902,0.41415682160700273,0.5273872933293222
en,10,9,0.0,0.24473620920989342,0.24473620920989342,0.1541549020193221,0.0,0.0,6.055555555555555,8.603333333333333,0.13966666666666666,0.8603333333333334,0.7493333333333335,21.251385555555558,19.174297777777777,2.0770733333333333,407.1111111111111,310.44444444444446,96.66666666666667,12.532738141177326,0.0,0.0,0.18482429242297663,0.3094668489405331,0.18482429242297663,0.3094668489405331
es,1,9,0.5555555555555556,0.7373737373737375,0.7373737373737375,0.7370370370370369,0.5555555555555556,0.5555555555555556,8.722222222222221,8.181111111111111,0.18188888888888888,0.8181111111111111,0.783,27.450804444444447,27.408451111111116,0.04233777777777778,491.8888888888889,363.8888888888889,128.0,13.090048218025846,0.2222222222222222,0.8888888888888888,0.5151515151515151,0.9494949494949494,0.5151515151515151,0.9494949494949494
es,2,9,0.0,0.3105145762008507,0.3105145762008507,0.29107358027414126,0.0,0.0,8.277777777777779,8.33222222222222,0.16677777777777777,0.8332222222222223,0.7043333333333333,19.11712888888889,17.038136666666666,2.078978888888889,440.6666666666667,364.55555555555554,76.11111111111111,13.003166781234581,0.0,0.0,0.16846859114015977,0.4653461199294533,0.16846859114015977,0.4653461199294533
es,3,9,0.0,0.0,0.0,0.17476031459158828,0.0,0.0,0.0,7.835555555555555,0.21644444444444444,0.7835555555555556,0.6933333333333332,21.045527777777778,18.95614,2.089376666666667,464.77777777777777,371.3333333333333,93.44444444444444,12.881660602480009,0.0,0.0,0.0,0.0,0.0,0.0
es,4,9,0.0,0.22827425317105396,0.20821252477599225,0.28475870374083595,0.0,0.0,1.8555555555555554,8.515555555555554,0.14844444444444443,0.8515555555555556,0.716,23.232594444444445,21.15430222222222,2.078281111111111,479.44444444444446,367.55555555555554,111.88888888888889,12.719917091037566,0.0,0.0,0.1268956705489213,0.35608743741161175,0.11190721902796207,0.3378818778973577
es,5,9,0.0,0.17306397306397306,0.17306397306397306,0.24925160466041218,0.1111111111111111,0.0,3.0555555555555554,8.431111111111111,0.15688888888888888,0.8431111111111113,0.8206666666666667,19.639703333333337,17.554596666666665,2.0850944444444446,462.1111111111111,381.55555555555554,80.55555555555556,12.391980724654177,0.0,0.0,0.0,0.4000000000000001,0.0,0.4000000000000001
es,6,9,0.0,0.7650063856960408,0.7650063856960408,0.8153879817604572,0.6666666666666666,0.6666666666666666,9.222222222222221,8.58222222222222,0.1417777777777778,0.8582222222222221,0.851,22.278994444444447,20.185337777777775,2.0936388888888886,492.22222222222223,387.0,105.22222222222223,12.576747046246291,0.0,0.0,0.6172839506172839,0.8888888888888888,0.6172839506172839,0.8888888888888888
es,7,9,0.0,0.4430001772107035,0.4430001772107035,0.2594353904033275,0.0,0.0,7.966666666666667,8.754444444444443,0.12455555555555556,0.8754444444444446,0.8213333333333334,22.133955555555556,20.043815555555554,2.090128888888889,484.8888888888889,382.8888888888889,102.0,12.68757140105844,0.0,0.0,0.3822966507177033,0.5184469696969697,0.3822966507177033,0.5184469696969697
es,8,9,0.0,0.34123753617180275,0.25954796895255455,0.24693643772640905,0.0,0.0,2.111111111111111,8.373333333333331,0.16266666666666665,0.8373333333333333,0.7390000000000001,21.020704444444448,18.948083333333336,2.07261,477.8888888888889,385.22222222222223,92.66666666666667,12.853420722874866,0.0,0.0,0.2459163589418895,0.4320312059577102,0.18638506733640667,0.3401241151274803
es,9,9,0.0,0.4277904884621134,0.40890886173734947,0.36422888270921827,0.0,0.0,2.0,8.87,0.11300000000000002,0.887,0.8563333333333333,20.582693333333335,18.503687777777778,2.0789922222222224,471.0,380.77777777777777,90.22222222222223,12.536981898368559,0.0,0.0,0.3049253446492572,0.5451294554742829,0.29100117697142713,0.5254796329306132
es,10,9,0.0,0.38092432259098924,0.38092432259098924,0.24672896653953483,0.0,0.0,6.5,8.381111111111112,0.1618888888888889,0.8381111111111111,0.7396666666666667,18.329654444444444,16.242332222222224,2.0873088888888893,457.8888888888889,391.6666666666667,66.22222222222223,12.62355797098067,0.0,0.0,0.2800089185505852,0.4848581048581049,0.2800089185505852,0.4848581048581049
